"CO_PAIS";"CO_PAIS_ISON3";"CO_PAIS_ISOA3";"NO_PAIS";"NO_PAIS_ING";"NO_PAIS_ESP"
"000";"898";"ZZZ";"NÃ£o Definido";"Not defined";"No definido"
"013";"004";"AFG";"AfeganistÃ£o";"Afghanistan";"Afganistan"
"015";"248";"ALA";"Aland, Ilhas";"Aland Islands";"Alans, Islas"
"017";"008";"ALB";"AlbÃ¢nia";"Albania";"Albania"
"020";"724";"ESP";"Alboran-Perejil, Ilhas";"Alboran-Perejil, Islands";"Alboran-Perejil, Islas"
"023";"276";"DEU";"Alemanha";"Germany";"Alemania"
"025";"278";"DEU";"Alemanha Oriental";"East Germany";"Alemania del Este"
"031";"854";"BFA";"Burkina Faso";"Burkina Faso";"Burkina Faso"
"037";"020";"AND";"Andorra";"Andorra";"Andorra"
"040";"024";"AGO";"Angola";"Angola";"Angola"
"041";"660";"AIA";"Anguilla";"Anguilla";"Anguilla"
"042";"010";"ATA";"AntÃ¡rtica";"Antarctica";"AntÃ¡rtida"
"043";"028";"ATG";"AntÃ­gua e Barbuda";"Antigua and Barbuda";"Antigua y Barbuda"
"047";"530";"ANT";"Antilhas Holandesas";"Netherlands Antilles";"Antillas Holandesas"
"053";"682";"SAU";"ArÃ¡bia Saudita";"Saudi Arabia";"Arabia Saudita"
"059";"012";"DZA";"ArgÃ©lia";"Algeria";"Argelia"
"063";"032";"ARG";"Argentina";"Argentina";"Argentina"
"064";"051";"ARM";"ArmÃªnia";"Armenia";"Armenia"
"065";"533";"ABW";"Aruba";"Aruba";"Aruba"
"069";"036";"AUS";"AustrÃ¡lia";"Australia";"Australia"
"072";"040";"AUT";"Ãustria";"Austria";"Austria"
"073";"031";"AZE";"AzerbaijÃ£o";"Azerbaijan";"Acerbaiyan"
"077";"044";"BHS";"Bahamas";"Bahamas";"Bahamas"
"080";"048";"BHR";"Barein";"Bahrein";"Bahrein"
"081";"050";"BGD";"Bangladesh";"Bangladesh";"Bangladesh"
"083";"052";"BRB";"Barbados";"Barbados";"Barbados"
"085";"112";"BLR";"Belarus";"Belarus";"BelarÃºs"
"087";"056";"BEL";"BÃ©lgica";"Belgium";"BÃ©lgica"
"088";"084";"BLZ";"Belize";"Belize";"Belice"
"090";"060";"BMU";"Bermudas";"Bermuda";"Bermuda"
"093";"104";"MMR";"Mianmar";"Myanmar";"Myanmar"
"097";"068";"BOL";"BolÃ­via";"Bolivia";"Bolivia"
"098";"070";"BIH";"BÃ³snia-Herzegovina";"Bosnia and Herzegovina";"Bosnia y Herzegovina"
"099";"535";"BES";"Bonaire, Saint Eustatius e Saba";"Bonaire, Saint Eustatius and Saba";"Bonaire, Saint Eustatius y Saba"
"100";"898";"BRA";"InternaÃ§Ã£o na Zona Franca de Manaus";"Internment in the Manaus Free Trade Zone";"Internamiento de la Zona Franca de Manaus"
"101";"072";"BWA";"Botsuana";"Botswana";"Botswana"
"102";"074";"BVT";"Bouvet, Ilha";"Bouvet Island";"Bouvet, Isla"
"105";"076";"BRA";"Brasil";"Brazil";"Brasil"
"108";"096";"BRN";"Brunei";"Brunei";"Brunei"
"111";"100";"BGR";"BulgÃ¡ria";"Bulgaria";"Bulgaria"
"115";"108";"BDI";"Burundi";"Burundi";"Burundi"
"119";"064";"BTN";"ButÃ£o";"Bhutan";"BhutÃ¡n"
"127";"132";"CPV";"Cabo Verde";"Cape Verde";"Cabo Verde"
"137";"136";"CYM";"Cayman, Ilhas";"Cayman Islands";"CaimÃ¡n, Islas"
"141";"116";"KHM";"Camboja";"Cambodia";"Camboya"
"145";"120";"CMR";"CamarÃµes";"Cameroon";"CamerÃºn"
"149";"124";"CAN";"CanadÃ¡";"Canada";"CanadÃ¡"
"150";"831";"GGY";"Canal, Ilhas do (Guernsey)";"Guernsey";"Guernsey"
"151";"724";"ESP";"CanÃ¡rias, Ilhas";"Canary, Islands";"Canarias, Islas"
"152";"826";"GBR";"Canal, Ilhas do (Jersey)";"Jersey";"Jersey"
"153";"398";"KAZ";"CazaquistÃ£o";"Kazakhstan";"KazakhstÃ¡n"
"154";"634";"QAT";"Catar";"Qatar";"Qatar"
"158";"152";"CHL";"Chile";"Chile";"Chile"
"160";"156";"CHN";"China";"China";"China"
"161";"158";"TWN";"Taiwan (Formosa)";"Taiwan";"TaiwÃ¡n"
"163";"196";"CYP";"Chipre";"Cyprus";"Chipre"
"165";"166";"CCK";"Cocos (Keeling), Ilhas";"Cocos (Keeling) Islands";"Cocos (Keeling), Islas"
"169";"170";"COL";"ColÃ´mbia";"Colombia";"Colombia"
"173";"174";"COM";"Comores";"Comoros";"Comoras"
"177";"178";"COG";"Congo";"Congo";"Congo"
"183";"184";"COK";"Cook, Ilhas";"Cook Islands";"Cook, Islas"
"187";"408";"PRK";"Coreia do Norte";"North Korea";"Corea (Norte)"
"190";"410";"KOR";"Coreia do Sul";"South Korea";"Corea (Sur)"
"193";"384";"CIV";"Costa do Marfim";"Cote D'Ivore";"Costa de Marfil"
"195";"191";"HRV";"CroÃ¡cia";"Croatia";"Croacia"
"196";"188";"CRI";"Costa Rica";"Costa Rica";"Costa Rica"
"198";"414";"KWT";"Coveite (Kuweit)";"Kuwait";"Kuwait"
"199";"192";"CUB";"Cuba";"Cuba";"Cuba"
"200";"531";"CUW";"CuraÃ§ao";"CuraÃ§ao";"Curazao"
"229";"204";"BEN";"Benin";"Benin";"Benin"
"232";"208";"DNK";"Dinamarca";"Denmark";"Dinamarca"
"235";"212";"DMA";"Dominica";"Dominica Island";"Dominica"
"237";"784";"ARE";"Dubai";"Dubai";"Dubai"
"239";"218";"ECU";"Equador";"Ecuador";"Ecuador"
